구,동,추정월세
서대문구,북가좌동,142.41834802439328
송파구,풍납동,148.8610374820708
송파구,오금동,148.8610374820708
서대문구,홍은동,151.66242548389835
서대문구,천연동,158.04493844880403
서대문구,북아현동,166.82824116215446
서대문구,홍제동,180.3516513229129
광진구,구의동,182.87576841791318
서대문구,냉천동,184.1612464969916
서대문구,남가좌동,184.1612464969916
서대문구,영천동,185.60002269449683
송파구,석촌동,191.32642348909928
송파구,방이동,191.32642348909928
송파구,문정동,192.52815700477467
송파구,거여동,193.38508821482918
광진구,광장동,195.6021422339334
광진구,중곡동,197.93837593881602
송파구,마천동,199.53091709379052
광진구,군자동,201.07883615837514
강남구,개포동,203.31891786805787
서대문구,충정로2가,210.63968333538318
서대문구,옥천동,210.63968333538318
강남구,자곡동,210.87853592709075
강남구,율현동,210.87853592709075
서대문구,창천동,213.55406033993228
송파구,장지동,215.81301684246583
서대문구,연희동,218.20982889121
광진구,자양동,225.32204085323946
서대문구,미근동,225.7345208291071
강남구,대치동,226.5727983552228
서대문구,충정로3가,228.54174016845897
광진구,화양동,231.30019132318907
강남구,도곡동,240.37950432525832
송파구,가락동,242.2758175626381
서대문구,대현동,244.76819773505167
송파구,삼전동,255.42900999498144
송파구,송파동,262.05942812084913
광진구,능동,268.5698398414906
송파구,잠실동,282.6639437611352
강남구,논현동,285.1032139296102
강남구,세곡동,290.244609079242
강남구,청담동,300.44367335298097
강남구,역삼동,301.4579760589818
강남구,일원동,303.3364404941247
서대문구,합동,314.24509115292443
송파구,신천동,320.31845985436865
강남구,삼성동,320.7658124860179
강남구,수서동,329.5393138323032
강남구,신사동,350.1674403005815
