구,동,전용면적,층,추정월세
서대문구,홍은동,50,1,172.35146781462467
서대문구,홍제동,50,1,178.82902823482527
서대문구,냉천동,50,1,178.82902823482527
서대문구,창천동,50,1,181.43140097387078
서대문구,남가좌동,50,1,181.63745883987994
서대문구,북가좌동,50,1,181.99106089480702
광진구,광장동,50,1,182.68906612389372
서대문구,영천동,50,1,185.91834410725411
서대문구,충정로2가,50,1,187.0034266192706
서대문구,옥천동,50,1,187.0034266192706
서대문구,북아현동,50,1,188.05731797138392
서대문구,충정로3가,50,1,189.92968315724116
광진구,구의동,50,1,190.42281081835625
송파구,오금동,50,1,191.43983130128342
광진구,군자동,50,1,191.74924415492268
송파구,가락동,50,1,194.44955207731007
송파구,풍납동,50,1,195.08509479927596
광진구,중곡동,50,1,196.70773576817564
송파구,거여동,50,1,197.08527763098473
광진구,자양동,50,1,198.52813990153103
송파구,문정동,50,1,201.9346177644812
서대문구,연희동,50,1,203.69772185037877
강남구,개포동,50,1,210.90091186758235
송파구,방이동,50,1,213.1334149250414
광진구,능동,50,1,214.4812505363883
강남구,자곡동,50,1,214.72530415777825
광진구,화양동,50,1,216.23061460634057
송파구,장지동,50,1,217.54153384780665
송파구,마천동,50,1,217.89343588243992
강남구,도곡동,50,1,221.68144359409285
강남구,세곡동,50,1,221.9577325011032
강남구,대치동,50,1,223.8717544719428
서대문구,대현동,50,1,224.35042108324456
송파구,삼전동,50,1,224.38360847278148
송파구,석촌동,50,1,230.3312141316597
송파구,잠실동,50,1,242.23647796096765
송파구,송파동,50,1,245.49925358391837
송파구,신천동,50,1,291.1309651483072
강남구,역삼동,50,1,309.2996402450893
강남구,일원동,50,1,373.20066818167203
강남구,논현동,50,1,376.0684138795217
강남구,청담동,50,1,384.36100434721783
강남구,신사동,50,1,396.3806471472503
강남구,삼성동,50,1,418.2734336089186
