구,동,전용면적,층,추정월세
서대문구,홍은동,100,2,194.89957859637457
서대문구,홍제동,100,2,197.1610262091667
서대문구,남가좌동,100,2,198.14258429651488
서대문구,북아현동,100,2,198.6625554142344
서대문구,북가좌동,100,2,204.28116583289457
송파구,오금동,100,2,227.64729772194028
송파구,거여동,100,2,236.9487220523352
서대문구,연희동,100,2,238.01697196681556
송파구,가락동,100,2,238.7580751641036
송파구,풍납동,100,2,241.43742276553803
송파구,문정동,100,2,248.1945402548541
송파구,마천동,100,2,259.9796066613679
송파구,방이동,100,2,261.89998751897014
송파구,삼전동,100,2,265.3464523901145
송파구,장지동,100,2,266.7773314945413
광진구,능동,100,2,270.2469185539098
광진구,군자동,100,2,270.6212983418211
광진구,구의동,100,2,272.95796885495747
광진구,화양동,100,2,274.72791306544747
송파구,석촌동,100,2,277.0931056217132
광진구,자양동,100,2,279.34415000880995
광진구,광장동,100,2,280.38643548376865
광진구,중곡동,100,2,281.2459262686683
송파구,송파동,100,2,287.0888079060999
송파구,잠실동,100,2,288.7985925318055
강남구,역삼동,100,2,344.3065870915767
강남구,개포동,100,2,345.7917213348986
강남구,세곡동,100,2,354.8260166047493
강남구,일원동,100,2,355.1521751504619
강남구,대치동,100,2,355.5041416047493
강남구,삼성동,100,2,365.5082857294624
강남구,논현동,100,2,377.3743918792092
강남구,도곡동,100,2,387.69258203699405
강남구,신사동,100,2,411.40023749621184
강남구,청담동,100,2,429.32316692789135
